
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        216 K
smss.exe                       364 Services                   0        112 K
csrss.exe                      660 Services                   0      1,376 K
wininit.exe                    744 Services                   0          N/A
csrss.exe                      756 Console                    1      2,336 K
winlogon.exe                   840 Console                    1      1,740 K
services.exe                   848 Services                   0      4,404 K
lsass.exe                      884 Services                   0      6,632 K
svchost.exe                    976 Services                   0        140 K
fontdrvhost.exe                984 Services                   0          N/A
fontdrvhost.exe                992 Console                    1      2,872 K
svchost.exe                    352 Services                   0     13,312 K
svchost.exe                    584 Services                   0      6,864 K
svchost.exe                    616 Services                   0      3,104 K
dwm.exe                        892 Console                    1     36,204 K
svchost.exe                   1100 Services                   0        724 K
svchost.exe                   1112 Services                   0     12,164 K
svchost.exe                   1140 Services                   0        204 K
svchost.exe                   1200 Services                   0      5,664 K
svchost.exe                   1248 Services                   0      2,900 K
svchost.exe                   1256 Services                   0      3,708 K
svchost.exe                   1320 Services                   0      1,532 K
svchost.exe                   1416 Services                   0      5,124 K
svchost.exe                   1448 Services                   0      3,616 K
svchost.exe                   1492 Services                   0      1,816 K
svchost.exe                   1524 Services                   0      7,672 K
svchost.exe                   1588 Services                   0      2,788 K
svchost.exe                   1652 Services                   0      4,340 K
QMEmulatorService.exe         1744 Services                   0        116 K
svchost.exe                   1804 Services                   0      4,244 K
svchost.exe                   1872 Services                   0      1,096 K
svchost.exe                   1880 Services                   0      2,904 K
svchost.exe                   1904 Services                   0      1,888 K
svchost.exe                   2016 Services                   0      2,960 K
svchost.exe                    944 Services                   0        120 K
igfxCUIService.exe            2072 Services                   0          N/A
svchost.exe                   2096 Services                   0      3,828 K
svchost.exe                   2184 Services                   0      9,492 K
svchost.exe                   2360 Services                   0      2,048 K
svchost.exe                   2712 Services                   0      2,388 K
svchost.exe                   2756 Services                   0      5,600 K
audiodg.exe                   2820 Services                   0     31,044 K
RtkAudioService64.exe         2832 Services                   0          N/A
RAVBg64.exe                   2920 Console                    1      1,776 K
svchost.exe                   2936 Services                   0        804 K
svchost.exe                   2948 Services                   0      3,176 K
svchost.exe                   3044 Services                   0      3,800 K
svchost.exe                   2436 Services                   0      5,024 K
wlanext.exe                   2332 Services                   0      1,428 K
conhost.exe                   2528 Services                   0         40 K
spoolsv.exe                   1660 Services                   0      1,088 K
svchost.exe                   2732 Services                   0      1,928 K
mDNSResponder.exe             3180 Services                   0        264 K
armsvc.exe                    3188 Services                   0          N/A
BTDevMgr.exe                  3196 Services                   0        952 K
svchost.exe                   3204 Services                   0      1,024 K
OfficeClickToRun.exe          3212 Services                   0     13,908 K
svchost.exe                   3224 Services                   0      5,124 K
svchost.exe                   3268 Services                   0      8,568 K
HPWMISVC.exe                  3284 Services                   0          N/A
svchost.exe                   3292 Services                   0        120 K
svchost.exe                   3308 Services                   0      2,136 K
mfevtps.exe                   3400 Services                   0          N/A
mfemms.exe                    3424 Services                   0        368 K
svchost.exe                   3440 Services                   0      2,516 K
ModuleCoreService.exe         3452 Services                   0      5,524 K
mqsvc.exe                     3500 Services                   0         92 K
svchost.exe                   3520 Services                   0        544 K
svchost.exe                   3536 Services                   0      2,964 K
PnkBstrA.exe                  3576 Services                   0        264 K
PEFService.exe                3584 Services                   0          N/A
RtkBtManServ.exe              3600 Services                   0      1,576 K
SecurityHealthService.exe     3636 Services                   0      1,708 K
ssh-agent.exe                 3656 Services                   0          N/A
sshd.exe                      3672 Services                   0          N/A
svchost.exe                   3680 Services                   0      1,156 K
svchost.exe                   3688 Services                   0     59,212 K
svchost.exe                   3708 Services                   0      6,676 K
svchost.exe                   3732 Services                   0        172 K
svchost.exe                   3764 Services                   0        708 K
MsMpEng.exe                   3788 Services                   0     79,824 K
svchost.exe                   3816 Services                   0      2,476 K
SearchIndexer.exe             3832 Services                   0     25,684 K
svchost.exe                   4120 Services                   0        120 K
Memory Compression            4500 Services                   0    134,892 K
svchost.exe                   4648 Services                   0        124 K
svchost.exe                   4792 Services                   0      1,896 K
svchost.exe                   4804 Services                   0        120 K
